NAME,STATION,LATITUDE,LONGITUDE,DESCRIPTION
"Applewood Creek at St James Ave",8220001,43.584460,-79.553101,"streamflow"
"Black Creek at 6th Line",8100002,43.630258,-79.948171,"streamflow"
"Churchville Tributary at Churchville Rd",8080005,43.641966,-79.765205,"streamflow"
"Cooksville Creek at Central Pkwy E",WSC 02HB030,43.592814,-79.623822,"streamflow"
"Cooksville Creek at Lakeshore Rd",8220004,43.567086,-79.569648,"streamflow"
"Credit River at Cataract",8180012,43.834389,-80.021993,"streamflow"
"Credit River at Dragonfly Park",8190006,43.920704,-80.083269,"streamflow"
"Credit River at Glen Williams",8120001,43.668543,-79.927134,"streamflow"
"Credit River at Hwy 7",8090011,43.647339,-79.860198,"streamflow"
"Credit River at King St",8120004,43.725603,-79.930077,"streamflow"
"Credit River at Mississaugua Golf and Country Club",8090002,43.553109,-79.624887,"streamflow"
"Credit River at Old Derry Rd",8090015,43.621817,-79.733454,"streamflow"
"Credit River at Streetsville",WSC 02HB029,43.582324,-79.708745,"streamflow"
"Credit River at The Grange Side Rd",8200005,43.813627,-79.950031,"streamflow"
"East Credit River @ Hwy 10",8130001,43.814345,-79.928673,"streamflow"
"Fletcher’s Creek at 2nd Line W",8050002,43.621009,-79.720289,"streamflow"
"Fletcher’s Creek at Hwy 7",8050004,43.694216,-79.801159,"streamflow"
"Huttonville Creek at Lionhead Golf and Conference Centre",8070001,43.647305,-79.792111,"streamflow"
"Levi Creek at Financial Drive",8060005,43.618850,-79.753574,"streamflow"
"Loyalist Creek at 5th Line",8010002,43.531518,-79.661927,"streamflow"
"Mill Creek at Townline",000,43.920476,-80.086784,"streamflow"
"Monora Creek at Cemetery Rd",8190018,43.933998,-80.096310,"streamflow"
"Mullet Creek at Century Ave",8040004,43.601791,-79.751216,"streamflow"
"Sawmill Creek at Glen Erin Trail",8030001,43.543355,-79.660588,"streamflow"
"Serson Creek at Serson Park",8220002,43.581512,-79.561213,"streamflow"
"Shaw’s Creek at Mississauga Rd",8170003,43.854204,-80.084168,"streamflow"
"Sheridan Creek at Truscott Dr",8210009,43.515017,-79.645630,"streamflow"
"Silver Creek at 8th Line",8110008,43.677577,-79.963857,"streamflow"
"Springbrook Creek at Creditview Rd",8080004,43.646672,-79.773844,"streamflow"
"Turtle Creek at Hindhead Park",8210003,43.517302,-79.632895,"streamflow"
"West Credit River at 10th Line",8150006,43.774338,-80.045838,"streamflow"